Participant_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4,SLC10A2,SLC15A1,SLC16A1,SLC22A1,SLC22A2,SLC22A3,SLC22A4,SLC22A5,SLC22A6,SLC22A7,SLC22A8,SLC28A2,SLC29A1,SLC29A2,SLC51A,SLC51B,SLCO2B1,CYP1A2,CYP2A6,CYP2D6,CYP2E1,CYP3A4,CYP3A5,SULT1A1,SULT1A3
H4017,5070,1038,1488,31,10739,3887,14,472,3060,14,2,36,206,1562,0,0,0,1712,725,1370,73,1746,2410,2,0,26,16,133,3369,1786,1
H4018,16845,8348,853,13,7667,1493,16,1854,9458,8,0,3,958,5354,0,0,1,483,376,483,4,3328,1534,0,0,53,6,1876,4868,5189,1
H4019,869,60,2269,19,5139,1210,6,313,721,2,2,47,51,661,0,0,0,1121,655,277,6,566,2619,0,0,11,2,47,9631,878,2
H4020,7260,3967,700,15,9031,1017,7,4116,6707,3,0,8,370,2213,0,0,0,964,338,400,77,2633,2293,0,0,36,4,526,2813,6572,0
H4022,8435,7507,1557,42,12184,1561,11,311,6383,15,2,34,194,3536,0,1,1,1962,1139,986,13,2615,5178,0,3,127,16,1467,2656,3847,3
H4023,12503,7781,2122,44,11603,1213,13,815,10296,21,1,147,536,4312,0,3,2,1109,708,662,40,2624,4382,2,0,59,29,875,12176,3872,1
H4024,8494,17870,1395,55,12146,1898,90,151,17709,11,1,106,525,6853,0,0,1,458,539,559,110,3158,4062,0,0,24,10,536,2355,5223,5
H4028,8672,3707,935,24,9890,1354,30,994,13314,18,0,29,473,3050,0,0,3,784,441,489,332,3533,2469,0,0,32,4,237,4071,5232,2
H4031,13633,9317,849,39,11015,1257,14,1753,11486,24,0,23,485,7067,0,1,1,667,557,453,66,2953,2664,0,0,19,14,129,3592,2356,4
H4035,2080,683,1533,12,8833,394,10,1192,2399,8,2,36,84,1660,0,0,0,3581,273,267,2,2924,2274,1,1,10,5,29,9198,3218,2
H4038,14109,11449,979,32,13179,1028,16,1372,15100,12,0,18,396,5036,0,1,0,3626,818,494,10,2878,2659,1,0,40,9,346,3801,7312,5
